"cases_time_series__dailyconfirmed","cases_time_series__dailydeceased","cases_time_series__dailyrecovered","cases_time_series__date","cases_time_series__dateymd","cases_time_series__totalconfirmed","cases_time_series__totaldeceased","cases_time_series__totalrecovered","statewise__active","statewise__confirmed","statewise__deaths","statewise__deltaconfirmed","statewise__deltadeaths","statewise__deltarecovered","statewise__lastupdatedtime","statewise__migratedother","statewise__recovered","statewise__state","statewise__statecode","statewise__statenotes","tested__dailyrtpcrsamplescollectedicmrapplication","tested__firstdoseadministered","tested__frontlineworkersvaccinated","tested__healthcareworkersvaccinated","tested__positivecasesfromsamplesreported","tested__samplereportedtoday","tested__seconddoseadministered","tested__source","tested__source2","tested__source3","tested__source4","tested__testedasof","tested__testsconductedbyprivatelabs","tested__totaldosesadministered","tested__totalindividualstested","tested__totalindividualsvaccinated","tested__totalpositivecases","tested__totalrtpcrsamplescollectedicmrapplication","tested__totalsamplestested","tested__totalsessionsconducted","tested__updatetimestamp"
"2396","77","962","01 May ","2020-05-01","37262","1231","10021","","","","","","","","","","","","","101669","","","","","151808","","https://t.me/Covid19india_Auxiliary_Test_Data/402","","","","10/06/2020","","","","","","2510125","5213140","","11/06/2020 09:00:00"
"2564","92","831","02 May ","2020-05-02","39826","1323","10852","","","","","","","","","","","","","105017","","","","","150305","","https://t.me/Covid19india_Auxiliary_Test_Data/419","","","","11/06/2020","","","","","","2615142","5363445","","12/06/2020 09:00:00"
"2952","140","911","03 May ","2020-05-03","42778","1463","11763","","","","","","","","","","","","","102911","","","","","143737","","https://twitter.com/ICMRDELHI/status/1271652968694075393?s=09","","","","12/06/2020","","","","","","2718053","5507182","","13/06/2020 09:00:00"
"3656","103","1082","04 May ","2020-05-04","46434","1566","12845","","","","","","","","","","","","","67013","","","","","151432","","https://t.me/Covid19india_Auxiliary_Test_Data/448","","","","13/06/2020","","","","","","2785066","5658614","","14/06/2020 09:00:00"
"2971","128","1295","05 May ","2020-05-05","49405","1694","14140","","","","","","","","","","","","","126437","","","","","115519","","https://t.me/Covid19india_Auxiliary_Test_Data/472","","","","14/06/2020","","","","","","2911503","5774133","","15/06/2020 09:00:00"
"3602","91","1161","06 May ","2020-05-06","53007","1785","15301","","","","","","","","","","","","","128725","","","","","154935","","https://t.me/Covid19india_Auxiliary_Test_Data/490","","","","15/06/2020","","","","","","3040228","5921069","","16/06/2020 09:00:00"
"3344","104","1475","07 May ","2020-05-07","56351","1889","16776","","","","","","","","","","","","","132885","","","","","163187","","https://t.me/Covid19india_Auxiliary_Test_Data/509","","","","16/06/2020","","","","","","3173113","6084256","","17/06/2020 09:00:00"
"3339","97","1111","08 May ","2020-05-08","59690","1986","17887","","","","","","","","","","","","","129434","","","","","165412","","https://t.me/Covid19india_Auxiliary_Test_Data/525","","","","17/06/2020","","","","","","3302547","6249668","","18/06/2020 09:00:00"
"3175","115","1414","09 May ","2020-05-09","62865","2101","19301","","","","","","","","","","","","","138171","","","","","176959","","https://t.me/Covid19india_Auxiliary_Test_Data/543","","","","18/06/2020","","","","","","3440718","6426627","","19/06/2020 09:00:00"
"4311","112","1669","10 May ","2020-05-10","67176","2213","20970","","","","","","","","","","","","","137386","","","","","189869","","https://t.me/Covid19india_Auxiliary_Test_Data/562","","","","19/06/2020","","","","","","3578104","6616496","","20/06/2020 09:00:00"
"3592","81","1579","11 May ","2020-05-11","70768","2294","22549","","","","","","","","","","","","","77194","","","","","190730","","https://t.me/Covid19india_Auxiliary_Test_Data/577","","","","20/06/2020","","","","","","3655298","6807226","","21/06/2020 09:00:00"
"3562","120","1905","12 May ","2020-05-12","74330","2414","24454","","","","","","","","","","","","","153451","","","","","143267","","https://t.me/Covid19india_Auxiliary_Test_Data/594","https://twitter.com/ICMRDELHI/status/1274913260559577090?s=19","","","21/06/2020","","","","","","3808749","6950493","","22/06/2020 09:00:00"
"3726","137","1963","13 May ","2020-05-13","78056","2551","26417","","","","","","","","","","","","","147291","","","","","187223","","https://t.me/Covid19india_Auxiliary_Test_Data/610","https://twitter.com/ICMRDELHI/status/1275277617864699906?s=19","","","22/06/2020","","","","","","3956040","7137716","","23/06/2020 09:00:00"
"3991","97","1594","14 May ","2020-05-14","82047","2648","28011","","","","","","","","","","","","","150413","","","","","215195","","https://twitter.com/ICMRDELHI/status/1275632600481067008/photo/1","https://t.me/Covid19india_Auxiliary_Test_Data/628","","","23/06/2020","","","","","","4106453","7352911","","24/06/2020 09:00:00"
"3808","104","2234","15 May ","2020-05-15","85855","2752","30245","","","","","","","","","","","","","146088","","","","","207871","","https://twitter.com/ICMRDELHI/status/1275995927824588802","","","","24/06/2020","","","","","","4252541","7560782","","25/06/2020 09:00:00"
"4794","120","4012","16 May ","2020-05-16","90649","2872","34257","","","","","","","","","","","","","153175","","","","","215446","","https://twitter.com/ICMRDELHI/status/1276356899642859520","","","","25/06/2020","","","","","","4405716","7776228","","26/06/2020 09:00:00"
"5049","152","2538","17 May ","2020-05-17","95698","3024","36795","","","","","","","","","","","","","153298","","","","","220479","","https://twitter.com/ICMRDELHI/status/1276720050066452481","https://t.me/Covid19india_Auxiliary_Test_Data/686","","","26/06/2020","","","","","","4559014","7996707","","27/06/2020 09:00:00"
"4628","131","2482","18 May ","2020-05-18","100326","3155","39277","","","","","","","","","","","","","90237","","","","","231095","","https://twitter.com/ICMRDELHI/status/1277084645016797190","https://t.me/Covid19india_Auxiliary_Test_Data/712","","","27/06/2020","","","","","","4649251","8227802","","28/06/2020 09:00:00"
"6154","146","3032","19 May ","2020-05-19","106480","3301","42309","","","","","","","","","","","","","168342","","","","","170560","","https://twitter.com/ICMRDELHI/status/1277441381988921344","https://t.me/Covid19india_Auxiliary_Test_Data/740","","","28/06/2020","","","","","","4817593","8398362","","29/06/2020 09:00:00"
"5720","134","3113","20 May ","2020-05-20","112200","3435","45422","","","","","","","","","","","","","171411","","","","","210292","","https://twitter.com/ICMRDELHI/status/1277811671281446913","https://t.me/Covid19india_Auxiliary_Test_Data/774","","","29/06/2020","","","","","","4989004","8608654","","30/06/2020 09:00:00"
"6023","148","3131","21 May ","2020-05-21","118223","3583","48553","","","","","","","","","","","","","165921","","","","","217931","","https://twitter.com/ICMRDELHI/status/1278172186612609025","https://t.me/Covid19india_Auxiliary_Test_Data/804","","","30/06/2020","","","","","","5154925","8826585","","01/07/2020 09:00:00"
"6536","142","3280","22 May ","2020-05-22","124759","3725","51833","","","","","","","","","","","","","177160","","","","","229588","","https://twitter.com/ICMRDELHI/status/1278529927797551104","https://t.me/Covid19india_Auxiliary_Test_Data/830","","","01/07/2020","","","","","","5332085","9056173","","02/07/2020 09:00:00"
"6667","142","2576","23 May ","2020-05-23","131424","3867","54409","","","","","","","","","","","","","183381","","","","","241576","","https://twitter.com/ICMRDELHI/status/1278893457470222337","https://t.me/Covid19india_Auxiliary_Test_Data/866","","","02/07/2020","","","","","","5515466","9297749","","03/07/2020 09:00:00"
"7111","156","3285","24 May ","2020-05-24","138537","4023","57694","","","","","","","","","","","","","186322","","","","","242383","","https://twitter.com/ICMRDELHI/status/1279256992754790405","https://t.me/Covid19india_Auxiliary_Test_Data/882","","","03/07/2020","","","","","","5701788","9540132","","04/07/2020 09:00:00"
"6414","150","3012","25 May ","2020-05-25","144951","4173","60706","","","","","","","","","","","","","102514","","","","","248934","","https://twitter.com/ICMRDELHI/status/1279624025497427968","https://t.me/Covid19india_Auxiliary_Test_Data/920","","","04/07/2020","","","","","","5804302","9789066","","05/07/2020 09:00:00"
"5907","173","3585","26 May ","2020-05-26","150858","4346","64291","","","","","","","","","","","","","210089","","","","","180596","","https://twitter.com/ICMRDELHI/status/1279980092995694592","https://t.me/Covid19india_Auxiliary_Test_Data/946","","","05/07/2020","","","","","","6014391","9969662","","06/07/2020 09:00:00"
"7246","188","3434","27 May ","2020-05-27","158104","4534","67725","","","","","","","","","","","","","206263","","","","","241430","","https://twitter.com/ICMRDELHI/status/1280347767114629120","https://t.me/Covid19india_Auxiliary_Test_Data/975","","","06/07/2020","","","","","","6220654","10211092","","07/07/2020 09:00:00"
"7254","176","3171","28 May ","2020-05-28","165358","4710","70896","","","","","","","","","","","","","205708","","","","","262679","","https://twitter.com/ICMRDELHI/status/1280707600015749120","https://t.me/Covid19india_Auxiliary_Test_Data/1000","","","07/07/2020","","","","","","6426362","10473771","","08/07/2020 09:00:00"
"8138","269","11735","29 May ","2020-05-29","173496","4979","82631","","","","","","","","","","","","","214410","","","","","267061","","https://twitter.com/ICMRDELHI/status/1281068228542738432","https://t.me/Covid19india_Auxiliary_Test_Data/1022","","","08/07/2020","","","","","","6640772","10740832","","09/07/2020 09:00:00"
"8364","205","4303","30 May ","2020-05-30","181860","5184","86934","","","","","","","","","","","","","220582","","","","","283659","","https://twitter.com/ICMRDELHI/status/1281436467487629312","https://t.me/Covid19india_Auxiliary_Test_Data/1048","","","09/07/2020","","","","","","6861354","11024491","","10/07/2020 09:00:00"
"8789","222","4928","31 May ","2020-05-31","190649","5406","91862","","","","","","","","","","","","","207819","","","","","282511","","https://twitter.com/ICMRDELHI/status/1281794800195301376","https://t.me/Covid19india_Auxiliary_Test_Data/1066","","","10/07/2020","","","","","","7069173","11307002","","11/07/2020 09:00:00"
"7723","201","3882","01 June ","2020-06-01","198372","5607","95744","","","","","","","","","","","","","121324","","","","","280151","","https://twitter.com/ICMRDELHI/status/1282160902507130881","https://t.me/Covid19india_Auxiliary_Test_Data/1091","","","11/07/2020","","","","","","7190497","11587153","","12/07/2020 09:00:00"
"8812","222","4531","02 June ","2020-06-02","207187","5829","100275","","","","","","","","","","","","","254734","","","","","219103","","https://twitter.com/ICMRDELHI/status/1282518284718358528","https://t.me/Covid19india_Auxiliary_Test_Data/1108","","","12/07/2020","","","","","","7445231","11806256","","13/07/2020 09:00:00"
"9689","259","3789","03 June ","2020-06-03","216876","6088","104064","","","","","","","","","","","","","249260","","","","","286247","","https://twitter.com/ICMRDELHI/status/1282888590230319104","https://t.me/Covid19india_Auxiliary_Test_Data/1132","","","13/07/2020","","","","","","7694491","12092503","","14/07/2020 09:00:00"
"9847","274","4390","04 June ","2020-06-04","226723","6362","108454","","","","","","","","","","","","","246359","","","","","320161","","https://twitter.com/ICMRDELHI/status/1283242773781467136","https://t.me/Covid19india_Auxiliary_Test_Data/1159","","","14/07/2020","","","","","","7940850","12412664","","15/07/2020 09:00:00"
"9472","286","4770","05 June ","2020-06-05","236195","6648","113224","","","","","","","","","","","","","236139","","","","","326826","","https://twitter.com/ICMRDELHI/status/1283601928279080960/photo/1","https://t.me/Covid19india_Auxiliary_Test_Data/1177","","","15/07/2020","","","","","","8176989","12739490","","16/07/2020 09:00:00"
"10408","297","5433","06 June ","2020-06-06","246603","6945","118657","","","","","","","","","","","","","245724","","","","","333228","","https://twitter.com/ICMRDELHI/status/1283977904246845442","https://t.me/Covid19india_Auxiliary_Test_Data/1189","","","16/07/2020","","","","","","8422713","13072718","","17/07/2020 09:00:00"
"10882","261","5191","07 June ","2020-06-07","257485","7206","123848","","","","","","","","","","","","","240339","","","","","361024","","https://twitter.com/ICMRDELHI/status/1284329467804966912","https://t.me/Covid19india_Auxiliary_Test_Data/1208","","","17/07/2020","","","","","","8663052","13433742","","18/07/2020 09:00:00"
"8536","271","5171","08 June ","2020-06-08","266021","7477","129019","","","","","","","","","","","","","139173","","","","","358127","","https://twitter.com/ICMRDELHI/status/1284689929360928771","https://t.me/Covid19india_Auxiliary_Test_Data/1225","","","18/07/2020","","","","","","8802225","13791869","","19/07/2020 09:00:00"
"9981","272","5634","09 June ","2020-06-09","276002","7749","134653","","","","","","","","","","","","","237985","","","","","256039","","https://twitter.com/ICMRDELHI/status/1285050262583865355","https://t.me/Covid19india_Auxiliary_Test_Data/1236","","","19/07/2020","","","","","","9040210","14047908","","20/07/2020 09:00:00"
"11156","358","6275","10 June ","2020-06-10","287158","8107","140928","","","","","","","","","","","","","252017","","","","","333395","","https://twitter.com/ICMRDELHI/status/1285414282545393664","https://t.me/Covid19india_Auxiliary_Test_Data/1258","","","20/07/2020","","","","","","9292227","14381303","","21/07/2020 09:00:00"
"11135","394","6044","11 June ","2020-06-11","298293","8501","146972","","","","","","","","","","","","","257257","","","","","343243","","https://twitter.com/ICMRDELHI/status/1285783025494581249","https://t.me/Covid19india_Auxiliary_Test_Data/1284","","","21/07/2020","","","","","","9549484","14724546","","22/07/2020 09:00:00"
"11306","388","7263","12 June ","2020-06-12","309599","8889","154235","","","","","","","","","","","","","244935","","","","","350823","","https://twitter.com/ICMRDELHI/status/1286141514586836993","https://t.me/Covid19india_Auxiliary_Test_Data/1314","","","22/07/2020","","","","","","9794419","15075369","","23/07/2020 09:00:00"
"12039","309","8092","13 June ","2020-06-13","321638","9198","162327","","","","","","","","","","","","","257793","","","","","352801","","https://twitter.com/ICMRDELHI/status/1286510593147510785","https://t.me/Covid19india_Auxiliary_Test_Data/1342","","","23/07/2020","","","","","","10052212","15428170","","24/07/2020 09:00:00"
"11405","324","7358","14 June ","2020-06-14","333043","9522","169685","","","","","","","","","","","","","240722","","","","","420898","","https://twitter.com/ICMRDELHI/status/1286867899387281408","https://t.me/Covid19india_Auxiliary_Test_Data/1361","","","24/07/2020","","","","","","10292934","15849068","","25/07/2020 09:00:00"
"10032","396","10639","15 June ","2020-06-15","343075","9918","180324","","","","","","","","","","","","","145033","","","","","442263","","https://twitter.com/ICMRDELHI/status/1287231590263734273","https://t.me/Covid19india_Auxiliary_Test_Data/1375","","","25/07/2020","","","","","","10437967","16291331","","26/07/2020 09:00:00"
"11086","2004","7226","16 June ","2020-06-16","354161","11922","187550","","","","","","","","","","","","","272964","","","","","515472","","http://twitter.com/ICMRDELHI/status/1287592304845320192","https://t.me/Covid19india_Auxiliary_Test_Data/1397","","","26/07/2020","","","","","","10710931","16806803","","27/07/2020 09:00:00"
"13108","341","6890","17 June ","2020-06-17","367269","12263","194440","","","","","","","","","","","","","276664","","","","","528082","","https://twitter.com/ICMRDELHI/status/1287966108058677249","https://t.me/Covid19india_Auxiliary_Test_Data/1415","","","27/07/2020","","","","","","10987595","17334885","","28/07/2020 09:00:00"
"13829","343","10741","18 June ","2020-06-18","381098","12606","205181","","","","","","","","","","","","","271658","","","","","408855","","http://twitter.com/ICMRDELHI/status/1288314973576245249","https://t.me/Covid19india_Auxiliary_Test_Data/1427","","","28/07/2020","","","","","","11259253","17743740","","29/07/2020 09:00:00"
"14740","364","9029","19 June ","2020-06-19","395838","12970","214210","","","","","","","","","","","","","288560","","","","","446642","","http://twitter.com/ICMRDELHI/status/1288670449858048002","https://t.me/Covid19india_Auxiliary_Test_Data/1445","","","29/07/2020","","","","","","11547813","18190382","","30/07/2020 09:00:00"
"15918","308","13974","20 June ","2020-06-20","411753","13278","228184","","","","","","","","","","","","","290235","","","","","642588","","http://twitter.com/ICMRDELHI/status/1289043276205457410","https://t.me/Covid19india_Auxiliary_Test_Data/1464","","","30/07/2020","","","","","","11838048","18832970","","31/07/2020 09:00:00"
"15151","426","9075","21 June ","2020-06-21","426904","13704","237259","","","","","","","","","","","","","239760","","","","","525689","","https://twitter.com/ICMRDELHI/status/1289405341722001408?s=20)","https://t.me/Covid19india_Auxiliary_Test_Data/1478","","","31/07/2020","","","","","","12077808","19358659","","01/08/2020 09:00:00"
"13560","312","10879","22 June ","2020-06-22","440464","14016","248138","","","","","","","","","","","","","175763","","","","","463172","","https://twitter.com/ICMRDELHI/status/1289776921459359745","https://t.me/Covid19india_Auxiliary_Test_Data/1492","","","01/08/2020","","","","","","12253571","19821831","","02/08/2020 09:00:00"
"15656","468","10462","23 June ","2020-06-23","456120","14484","258600","","","","","","","","","","","","","254035","","","","","381027","","https://twitter.com/ICMRDELHI/status/1290136251295657986","https://t.me/Covid19india_Auxiliary_Test_Data/1508","","","02/08/2020","","","","","","12507606","20202858","","03/08/2020 09:00:00"
"16868","424","13089","24 June ","2020-06-24","472988","14908","271689","","","","","","","","","","","","","310481","","","","","661892","","http://twitter.com/ICMRDELHI/status/1290484131848024066","https://t.me/Covid19india_Auxiliary_Test_Data/1522","","","03/08/2020","","","","","","12818087","20864750","","04/08/2020 09:00:00"
"18205","401","13983","25 June ","2020-06-25","491193","15309","285672","","","","","","","","","","","","","310226","","","","","619652","","http://twitter.com/ICMRDELHI/status/1290849286985404417","https://t.me/Covid19india_Auxiliary_Test_Data/1540","","","04/08/2020","","","","","","13128313","21484402","","05/08/2020 09:00:00"
"18255","381","10246","26 June ","2020-06-26","509448","15690","295918","","","","","","","","","","","","","316470","","","","","664949","","http://twitter.com/ICMRDELHI/status/1291210644855730176","https://t.me/Covid19india_Auxiliary_Test_Data/1560","","","05/08/2020","","","","","","13444783","22149351","","06/08/2020 09:00:00"
"20142","414","14229","27 June ","2020-06-27","529590","16104","310147","","","","","","","","","","","","","330118","","","","","639042","","http://twitter.com/ICMRDELHI/status/1291581826817908737","https://t.me/Covid19india_Auxiliary_Test_Data/1574","","","06/08/2020","","","","","","13774901","22788393","","07/08/2020 09:00:00"
"19610","384","11631","28 June ","2020-06-28","549200","16488","321778","","","","","","","","","","","","","313118","","","","","598778","","http://twitter.com/ICMRDELHI/status/1291945755314249731","https://t.me/Covid19india_Auxiliary_Test_Data/1596","","","07/08/2020","","","","","","14088019","23387171","","08/08/2020 09:00:00"
"18339","417","13497","29 June ","2020-06-29","567539","16905","335275","","","","","","","","","","","","","177363","","","","","719364","","http://twitter.com/ICMRDELHI/status/1292303919930945537","https://t.me/Covid19india_Auxiliary_Test_Data/1622","","","08/08/2020","","","","","","14265382","24106535","","09/08/2020 09:00:00"
"18256","506","12565","30 June ","2020-06-30","585795","17411","347840","","","","","","","","","","","","","178394","","","","","477023","","https://twitter.com/ICMRDELHI/status/1292671584549789696","https://t.me/Covid19india_Auxiliary_Test_Data/1642","https://t.me/Covid19india_Auxiliary_Test_Data/1889","","09/08/2020","","","","","","14377704","24583558","","10/08/2020 09:00:00"
"19429","438","12064","01 July ","2020-07-01","605224","17849","359904","","","","","","","","","","","","","365020","","","","","698290","","http://twitter.com/ICMRDELHI/status/1293043854820519936","https://t.me/Covid19india_Auxiliary_Test_Data/1660","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","10/08/2020","","","","","","14742724","25281848","","11/08/2020 09:00:00"
"21947","378","19999","02 July ","2020-07-02","627171","18227","379903","","","","","","","","","","","","","368344","","","","","733449","","https://twitter.com/ICMRDELHI/status/1293400350183940096","https://t.me/Covid19india_Auxiliary_Test_Data/1677","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","11/08/2020","","","","","","15111068","26015297","","12/08/2020 09:00:00"
"22718","444","14417","03 July ","2020-07-03","649889","18671","394320","","","","","","","","","","","","","392348","","","","","830391","","https://twitter.com/ICMRDELHI/status/1293766272744697856?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1692","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","12/08/2020","","","","","","15503416","26845688","","13/08/2020 09:00:00"
"24018","611","14746","04 July ","2020-07-04","673907","19282","409066","","","","","","","","","","","","","410635","","","","","848728","","http://twitter.com/ICMRDELHI/status/1294118346384797697","https://t.me/Covid19india_Auxiliary_Test_Data/1704","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","13/08/2020","","","","","","15914051","27694416","","14/08/2020 09:00:00"
"23942","421","15829","05 July ","2020-07-05","697849","19703","424895","","","","","","","","","","","","","391987","","","","","868679","","http://twitter.com/ICMRDELHI/status/1294485146712698880","https://t.me/Covid19india_Auxiliary_Test_Data/1724","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","14/08/2020","","","","","","16306038","28563095","","15/08/2020 09:00:00"
"22500","473","15315","06 July ","2020-07-06","720349","20176","440210","","","","","","","","","","","","","262944","","","","","746608","","http://twitter.com/ICMRDELHI/status/1294841110259326976","https://t.me/Covid19india_Auxiliary_Test_Data/1739","https://t.me/Covid19india_Auxiliary_Test_Data/1891","","15/08/2020","","","","","","16568982","29309703","","16/08/2020 09:00:00"
"23147","479","16836","07 July ","2020-07-07","743496","20655","457046","","","","","","","","","","","","","234952","","","","","731697","","http://twitter.com/ICMRDELHI/status/1295198089125355521","https://t.me/Covid19india_Auxiliary_Test_Data/1752","","","16/08/2020","","","","","","16803934","30041400","","17/08/2020 09:00:00"
"25561","492","19508","08 July ","2020-07-08","769057","21147","476554","","","","","","","","","","","","","447058","","","","","899864","","https://twitter.com/ICMRDELHI/status/1295561779540459520","https://t.me/Covid19india_Auxiliary_Test_Data/1771","https://t.me/Covid19india_Auxiliary_Test_Data/1894","","17/08/2020","","","","","","17250992","30941264","","18/08/2020 09:00:00"
"25790","479","19408","09 July ","2020-07-09","794847","21626","495962","","","","","","","","","","","","","438072","","","","","801518","","http://twitter.com/ICMRDELHI/status/1295929066009182210","https://t.me/Covid19india_Auxiliary_Test_Data/1791","https://t.me/Covid19india_Auxiliary_Test_Data/1894","","18/08/2020","","","","","","17689064","31742782","","19/08/2020 09:00:00"
"27762","520","20289","10 July ","2020-07-10","822609","22146","516251","","","","","","","","","","","","","424438","","","","","918470","","https://twitter.com/ICMRDELHI/status/1296296417372250113","https://t.me/Covid19india_Auxiliary_Test_Data/1804","https://t.me/Covid19india_Auxiliary_Test_Data/1894","","19/08/2020","","","","","","18113502","32661252","","20/08/2020 09:00:00"
"27757","543","19981","11 July ","2020-07-11","850366","22689","536232","","","","","","","","","","","","","423479","","","","","805985","","http://twitter.com/ICMRDELHI/status/1296650359285243905","https://t.me/Covid19india_Auxiliary_Test_Data/1820","https://t.me/Covid19india_Auxiliary_Test_Data/1894","","20/08/2020","","","","","","18536981","33467237","","21/08/2020 09:00:00"
"29106","500","18198","12 July ","2020-07-12","879472","23189","554430","","","","","","","","","","","","","416067","","","","","1023836","","http://twitter.com/ICMRDELHI/status/1297010234624315393","https://t.me/Covid19india_Auxiliary_Test_Data/1839","https://t.me/Covid19india_Auxiliary_Test_Data/1879","","21/08/2020","","","","","","18953048","34491073","","22/08/2020 09:00:00"
"28178","541","17683","13 July ","2020-07-13","907650","23730","572113","","","","","","","","","","","","","331560","","","","","801147","","https://twitter.com/ICMRDELHI/status/1297387806818353152","https://t.me/Covid19india_Auxiliary_Test_Data/1862","https://t.me/Covid19india_Auxiliary_Test_Data/1881","","22/08/2020","","","","","","19284608","35292220","","23/08/2020 09:00:00"
"29917","587","20977","14 July ","2020-07-14","937567","24317","593090","","","","","","","","","","","","","256070","","","","","609917","","https://twitter.com/ICMRDELHI/status/1297742879255719936?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1874","https://t.me/Covid19india_Auxiliary_Test_Data/1875","","23/08/2020","","","","","","19540678","35902137","","24/08/2020 09:00:00"
"32607","614","20646","15 July ","2020-07-15","970174","24931","613736","","","","","","","","","","","","","458481","","","","","925383","","https://twitter.com/ICMRDELHI/status/1298107913597153280?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1904","https://t.me/Covid19india_Auxiliary_Test_Data/1902","","24/08/2020","","","","","","19999159","36827520","","25/08/2020 09:00:00"
"35468","680","22867","16 July ","2020-07-16","1005642","25611","636603","","","","","","","","","","","","","474795","","","","","823992","","https://twitter.com/ICMRDELHI/status/1298463649770553344?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1923","https://t.me/Covid19india_Auxiliary_Test_Data/1920","","25/08/2020","","","","","","20473954","37651512","","26/08/2020 09:00:00"
"34820","676","17476","17 July ","2020-07-17","1040462","26287","654079","","","","","","","","","","","","","473145","","","","","924998","","https://twitter.com/ICMRDELHI/status/1298823131100938241?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1944","https://t.me/Covid19india_Auxiliary_Test_Data/1941","","26/08/2020","","","","","","20947099","38576510","","27/08/2020 09:00:00"
"37411","543","23583","18 July ","2020-07-18","1077873","26830","677662","","","","","","","","","","","","","458987","","","","","901338","","https://twitter.com/ICMRDELHI/status/1299192086776786944?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1964","https://t.me/Covid19india_Auxiliary_Test_Data/1961","","27/08/2020","","","","","","21406086","39477848","","28/08/2020 09:00:00"
"40235","675","22730","19 July ","2020-07-19","1118108","27505","700392","","","","","","","","","","","","","450468","","","","","928761","","https://twitter.com/ICMRDELHI/status/1299572890631770112?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/1985","https://t.me/Covid19india_Auxiliary_Test_Data/1982","","28/08/2020","","","","","","21856554","40406609","","29/08/2020 09:00:00"
"36806","596","24303","20 July ","2020-07-20","1154914","28101","724695","","","","","","","","","","","","","431191","","","","","1055027","","http://twitter.com/ICMRDELHI/status/1299912932717813761","https://t.me/Covid19india_Auxiliary_Test_Data/2002","https://t.me/Covid19india_Auxiliary_Test_Data/2004?single","","29/08/2020","","","","","","22287745","41461636","","30/08/2020 09:00:00"
"39170","671","27589","21 July ","2020-07-21","1194084","28772","752284","","","","","","","","","","","","","257124","","","","","846278","","https://twitter.com/ICMRDELHI/status/1300277342275690497?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2038","https://t.me/Covid19india_Auxiliary_Test_Data/2036","","30/08/2020","","","","","","22544869","42307914","","31/08/2020 09:00:00"
"45601","1130","31875","22 July ","2020-07-22","1239685","29902","784159","","","","","","","","","","","","","481071","","","","","1016920","","https://twitter.com/ICMRDELHI/status/1300631123190374403?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2058","https://t.me/Covid19india_Auxiliary_Test_Data/2050","","31/08/2020","","","","","","23025940","43324834","","01/09/2020 09:00:00"
"48443","755","33326","23 July ","2020-07-23","1288128","30657","817485","","","","","","","","","","","","","460496","","","","","1012367","","https://twitter.com/ICMRDELHI/status/1300994754692358144?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2080","https://t.me/Covid19india_Auxiliary_Test_Data/2078","","01/09/2020","","","","","","23486436","44337201","","02/09/2020 09:00:00"
"48888","763","32514","24 July ","2020-07-24","1337016","31420","849999","","","","","","","","","","","","","447027","","","","","1172179","","https://twitter.com/ICMRDELHI/status/1301358861308157953?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2107","https://t.me/Covid19india_Auxiliary_Test_Data/2104","","02/09/2020","","","","","","23933463","45509380","","03/09/2020 09:00:00"
"50072","703","37125","25 July ","2020-07-25","1387088","32123","887124","","","","","","","","","","","","","452079","","","","","1169765","","https://twitter.com/ICMRDELHI/status/1301719643657175040?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2132","https://t.me/Covid19india_Auxiliary_Test_Data/2130","","03/09/2020","","","","","","24385542","46679145","","04/09/2020 09:00:00"
"48932","704","31512","26 July ","2020-07-26","1436020","32827","918636","","","","","","","","","","","","","466152","","","","","1059346","","https://twitter.com/ICMRDELHI/status/1302095137435086848?s=20","https://t.me/Covid19india_Auxiliary_Test_Data/2154","https://t.me/Covid19india_Auxiliary_Test_Data/2152","","04/09/2020","","","","","","24851694","47738491","","05/09/2020 09:00:00"
"46484","642","34354","27 July ","2020-07-27","1482504","33469","952990","","","","","","","","","","","","","437621","","","","","1092654","","http://twitter.com/ICMRDELHI/status/1302441910481559552","https://t.me/Covid19india_Auxiliary_Test_Data/2181","https://t.me/Covid19india_Auxiliary_Test_Data/2179","","05/09/2020","","","","","","25289315","48831145","","06/09/2020 09:00:00"
"49631","774","35683","28 July ","2020-07-28","1532135","34243","988673","","","","","","","","","","","","","258804","","","","","720362","","https://www.icmr.gov.in/pdf/covid/update/ICMR_testing_update_07Sept2020.pdf","https://t.me/Covid19india_Auxiliary_Test_Data/2204","https://t.me/Covid19india_Auxiliary_Test_Data/2208","","06/09/2020","","","","","","25548119","49551507","","07/09/2020 09:00:00"
